17715400 : add <- phi                    , add <- trunc                  , shl <- add                    , and <- shl                    , zext <- and                   
17715400 : add <- trunc                  , shl <- add                    , and <- shl                    , zext <- and                   , getelementptr <- getelementptr
17715400 : shl <- add                    , and <- shl                    , zext <- and                   , getelementptr <- getelementptr, getelementptr <- zext         
17715400 : and <- shl                    , zext <- and                   , getelementptr <- getelementptr, getelementptr <- zext         , load <- getelementptr         
17715400 : zext <- and                   , getelementptr <- getelementptr, getelementptr <- zext         , load <- getelementptr         , and <- load                   
17715400 : getelementptr <- getelementptr, getelementptr <- zext         , load <- getelementptr         , and <- load                   , icmp <- and                   
17715400 : getelementptr <- zext         , load <- getelementptr         , and <- load                   , icmp <- and                   , zext <- icmp                  
17715400 : load <- getelementptr         , and <- load                   , icmp <- and                   , zext <- icmp                  , add <- phi                    
17715400 : and <- load                   , icmp <- and                   , zext <- icmp                  , add <- phi                    , add <- zext                   
17715400 : icmp <- and                   , zext <- icmp                  , add <- phi                    , add <- zext                   , add <- phi                    
17715400 : zext <- icmp                  , add <- phi                    , add <- zext                   , add <- phi                    , icmp <- add                   
17715400 : add <- phi                    , add <- zext                   , add <- phi                    , icmp <- add                   , br <- icmp                    
17715400 : add <- zext                   , add <- phi                    , icmp <- add                   , br <- icmp                    , add <- phi                    
17006784 : add <- phi                    , icmp <- add                   , br <- icmp                    , add <- phi                    , add <- trunc                  
14172320 : icmp <- add                   , br <- icmp                    , add <- phi                    , add <- trunc                  , shl <- add                    
14172320 : br <- icmp                    , add <- phi                    , add <- trunc                  , shl <- add                    , and <- shl                    
 3549399 : add <- phi                    , icmp <- add                   , br <- icmp                    , add <- phi                    , icmp <- add                   
 3549399 : icmp <- add                   , br <- icmp                    , add <- phi                    , icmp <- add                   , br <- icmp                    
 3543080 : add <- phi                    , add <- trunc                  , and <- add                    , zext <- and                   , getelementptr <- alloca       
 3543080 : add <- trunc                  , and <- add                    , zext <- and                   , getelementptr <- alloca       , getelementptr <- zext         
 3543080 : and <- add                    , zext <- and                   , getelementptr <- alloca       , getelementptr <- zext         , add <- phi                    
 3543080 : zext <- and                   , getelementptr <- alloca       , getelementptr <- zext         , add <- phi                    , add <- trunc                  
 3543080 : getelementptr <- alloca       , getelementptr <- zext         , add <- phi                    , add <- trunc                  , shl <- add                    
 3543080 : getelementptr <- zext         , add <- phi                    , add <- trunc                  , shl <- add                    , and <- shl                    
 3169780 : br <- icmp                    , br <- icmp                    , trunc <- lshr                 , trunc <- lshr                 , trunc <- lshr                 
 3169780 : br <- icmp                    , trunc <- lshr                 , trunc <- lshr                 , trunc <- lshr                 , call <- load                  
 3169780 : trunc <- lshr                 , trunc <- lshr                 , trunc <- lshr                 , call <- load                  , call <- trunc                 
 3169780 : trunc <- lshr                 , trunc <- lshr                 , call <- load                  , call <- trunc                 , call <- trunc                 
 3169780 : trunc <- lshr                 , call <- load                  , call <- trunc                 , call <- trunc                 , call <- trunc                 
 3169780 : call <- load                  , call <- trunc                 , call <- trunc                 , call <- trunc                 , call <- trunc                 
 3169780 : call <- trunc                 , call <- trunc                 , call <- trunc                 , call <- trunc                 , call <- load                  
 3169780 : call <- trunc                 , call <- trunc                 , call <- trunc                 , call <- load                  , store <- call                 
 3169779 : call <- load                  , br <- icmp                    , br <- icmp                    , trunc <- lshr                 , trunc <- lshr                 
 2834488 : br <- icmp                    , add <- phi                    , icmp <- add                   , br <- icmp                    , add <- phi                    
 2834464 : icmp <- add                   , br <- icmp                    , add <- phi                    , add <- trunc                  , and <- add                    
 2834464 : br <- icmp                    , add <- phi                    , add <- trunc                  , and <- add                    , zext <- and                   
 1584890 : call <- shl                   , call <- load                  , br <- icmp                    , br <- icmp                    , trunc <- lshr                 
 1584890 : call <- trunc                 , call <- trunc                 , call <- load                  , store <- call                 , or <- shl                     
 1584889 : call <- trunc                 , call <- load                  , store <- call                 , or <- shl                     , zext <- phi                   
 1584889 : call <- load                  , store <- call                 , or <- shl                     , zext <- phi                   , getelementptr <- zext         
 1584889 : store <- call                 , or <- shl                     , zext <- phi                   , getelementptr <- zext         , load <- getelementptr         
 1584889 : or <- shl                     , zext <- phi                   , getelementptr <- zext         , load <- getelementptr         , call <- or                    
 1584889 : call <- or                    , call <- load                  , br <- icmp                    , br <- icmp                    , trunc <- lshr                 
 1572709 : add <- phi                    , icmp <- add                   , br <- icmp                    , shl <- phi                    , getelementptr <- getelementptr
 1572709 : icmp <- add                   , br <- icmp                    , shl <- phi                    , getelementptr <- getelementptr, getelementptr <- shl          
 1572709 : br <- icmp                    , shl <- phi                    , getelementptr <- getelementptr, getelementptr <- shl          , load <- getelementptr         
  792445 : shl <- phi                    , getelementptr <- getelementptr, getelementptr <- shl          , load <- getelementptr         , and <- load                   
  792445 : getelementptr <- getelementptr, getelementptr <- shl          , load <- getelementptr         , and <- load                   , switch <- and                 
  792445 : getelementptr <- shl          , load <- getelementptr         , and <- load                   , switch <- and                 , trunc <- phi                  
  792445 : trunc <- phi                  , shl <- trunc                  , add <- shl                    , add <- load                   , store <- add                  
  792445 : shl <- trunc                  , add <- shl                    , add <- load                   , store <- add                  , store <- getelementptr        
  792445 : add <- shl                    , add <- load                   , store <- add                  , store <- getelementptr        , trunc <- phi                  
  792445 : add <- load                   , store <- add                  , store <- getelementptr        , trunc <- phi                  , shl <- trunc                  
  792445 : store <- add                  , store <- getelementptr        , trunc <- phi                  , shl <- trunc                  , zext <- phi                   
  792445 : store <- getelementptr        , trunc <- phi                  , shl <- trunc                  , zext <- phi                   , getelementptr <- zext         
  792445 : trunc <- phi                  , shl <- trunc                  , zext <- phi                   , getelementptr <- zext         , load <- getelementptr         
  792445 : shl <- trunc                  , zext <- phi                   , getelementptr <- zext         , load <- getelementptr         , call <- shl                   
  792445 : zext <- phi                   , getelementptr <- zext         , load <- getelementptr         , call <- shl                   , call <- shl                   
  792445 : getelementptr <- zext         , load <- getelementptr         , call <- shl                   , call <- shl                   , call <- load                  
  792445 : load <- getelementptr         , call <- shl                   , call <- shl                   , call <- load                  , br <- icmp                    
  792445 : call <- shl                   , call <- shl                   , call <- load                  , br <- icmp                    , br <- icmp                    
  792445 : zext <- phi                   , getelementptr <- zext         , load <- getelementptr         , call <- or                    , call <- shl                   
  792445 : getelementptr <- zext         , load <- getelementptr         , call <- or                    , call <- shl                   , call <- load                  
  792445 : load <- getelementptr         , call <- or                    , call <- shl                   , call <- load                  , br <- icmp                    
  792445 : call <- or                    , call <- shl                   , call <- load                  , br <- icmp                    , br <- icmp                    
